,Unnamed: 0,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party.1,candidate_status,in_state_in_state,donation_count_in_state,total_raised_in_state,in_state_out_of_state,donation_count_out_of_state,total_raised_out_of_state
86,3,"SETHI, DR. MANNY",S0TN00144,TN,REP,Open seat,Senate,[2020],[2020],REP,C,True,1563.0,1461499.21,False,829.0,630099.47
87,4,"SHORT, ROBERT G",S0WY00160,WY,REP,Open seat,Senate,[2020],[2020],REP,C,True,79.0,60434.96,False,2.0,300.0
88,5,"SINGH, HIRSH V",S0NJ00191,NJ,REP,Challenger,Senate,[2020],[2020],REP,C,True,330.0,88398.17,False,480.0,114241.49
89,7,"STITT, JJ MR.",S0OK00347,OK,REP,Challenger,Senate,[2020],[2020],REP,C,True,15.0,29157.64,False,2.0,1000.0
90,8,"STOVALL, DWAYNE",S4TX00433,TX,REP,Challenger,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,131.0,53766.0,False,2.0,1250.0
91,9,"SULLIVAN, DAN",S4AK00214,AK,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,1571.0,868134.67,False,2754.0,3561713.42
92,10,"TARTER, THOMAS",S0IL00527,IL,REP,Challenger,Senate,[2020],[2020],REP,C,True,97.0,59395.67,False,5.0,2900.0
93,11,"TAYLOR, KANDISS SHARPE DR",S0GA00641,GA,REP,Challenger,Senate,[2020],[2020],REP,C,True,5.0,3900.0,,,
94,12,"TAYLOR, SCOTT W.",S0VA00104,VA,REP,Challenger,Senate,[2020],[2020],REP,P,True,173.0,126035.0,False,325.0,353544.0
95,13,"TILLIS, THOM R. SEN.",S4NC00162,NC,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C,True,4312.0,2520254.5,False,6791.0,4149528.0900000003
96,14,"TUBERVILLE, THOMAS H",S0AL00230,AL,REP,Challenger,Senate,[2020],[2020],REP,C,True,2247.0,1848391.56,False,932.0,831499.5
97,15,"TUCKER, GARLAND S III",S0NC00319,NC,REP,Challenger,Senate,[2020],[2020],REP,C,True,727.0,440605.76,False,49.0,46225.0
98,16,"WAGLE, SUSAN",S0KS00299,KS,REP,Open seat,Senate,[2020],[2020],REP,C,True,242.0,306690.47,False,84.0,45825.0
99,17,"WATERS, ALLEN",S0RI00067,RI,REP,Challenger,Senate,[2020],[2020],REP,C,True,10.0,4510.0,False,2.0,3050.0
100,18,"WHEELER, JOSHUA B",S0WY00103,WY,REP,Open seat,Senate,[2020],[2020],REP,C,True,7.0,5375.0,False,3.0,700.0
101,19,"WHITT, LARRY ALLEN II",S0WV00231,WV,REP,Challenger,Senate,[2020],[2020],REP,C,True,8.0,4650.0,False,6.0,3250.0
