,Unnamed: 0,name,candidate_id,candidate_state,party,incumbent_challenge_full,cycles,donation_count_in_state,total_raised_in_state,donation_count_out_of_state,total_raised_out_of_state,0,Color
172,79,"RISCH, JAMES E",S8ID00092,ID,REP,Incumbent,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]",84,69050,747,891490.01,FALSE,Red
173,80,"ROMERO, PAUL JOSEPH MR. JR.",S0OR00337,OR,REP,Challenger,[2020],8,3200,1,500,TRUE,Blue
174,81,"RONCHETTI, MARK V.",S0NM00124,NM,REP,Open seat,[2020],1882,815235.2,42,61050,TRUE,Blue
175,82,"ROUNDS, MIKE",S4SD00049,SD,REP,Incumbent,"[2012, 2014, 2016, 2018, 2020]",636,510260.97,669,753129.25,FALSE,Red
176,83,"SANCHEZ, LOUIE J",S0NM00116,NM,REP,Open seat,[2020],62,50430,16,7910,FALSE,Blue
177,84,"SASSE, BENJAMIN E",S4NE00090,NE,REP,Incumbent,"[2014, 2016, 2018, 2020]",512,325991.96,1289,1648190.1,FALSE,Red
178,85,"SESSIONS, JEFFERSON B",S6AL00195,AL,REP,Challenger,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",785,928128,599,425344.7,TRUE,Red
179,86,"SETHI, DR. MANNY",S0TN00144,TN,REP,Open seat,[2020],1563,1461499.21,829,630099.47,TRUE,Red
180,87,"SHORT, ROBERT G",S0WY00160,WY,REP,Open seat,[2020],79,60434.96,2,300,FALSE,Red
181,88,"SINGH, HIRSH V",S0NJ00191,NJ,REP,Challenger,[2020],330,88398.17,480,114241.49,TRUE,Blue
182,89,"STITT, JJ MR.",S0OK00347,OK,REP,Challenger,[2020],15,29157.64,2,1000,FALSE,Red
183,90,"STOVALL, DWAYNE",S4TX00433,TX,REP,Challenger,"[2014, 2016, 2018, 2020]",131,53766,2,1250,FALSE,Red
184,91,"SULLIVAN, DAN",S4AK00214,AK,REP,Incumbent,"[2014, 2016, 2018, 2020]",1571,868134.67,2754,3561713.42,FALSE,Red
