AL,9,R
AK,3,R
AZ,11,R
AR,6,R
CA,,D
CO,,D
CT,,D
DE,,D
DC,,D
FL,29,R
GA,16,R
HI,,D
ID,4,R
IL,,D
IN,11,R
IA,6,R
KS,6,R
KY,8,R
LA,8,R
ME,1,R
MD,,D
MA,,D
MI,16,R
MN,,D
MS,6,R
MO,10,R
MT,3,R
NE,5,R
NV,,D
NH,,D
NJ,,D
NM,,D
NY,,D
NC,15,R
ND,3,R
OH,18,R
OK,7,R
OR,,D
PA,20,R
RI,,D
SC,9,R
SD,3,R
TN,11,R
TX,36*,R
UT,6,R
VT,,D
VA,,D
WA,,D
WV,5,R
WI,10,R
WY,3,R
