,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
42,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,WI,4,1618.92,False
43,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,WV,1,250.0,False
44,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,WY,2,1250.0,False
45,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",C,ZZ,4,195.0,False
46,"BALDWIN, ALISSA",S0VA00070,VA,REP,Challenger,Senate,[2020],[2020],C,VA,10,885.0,True
47,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,Senate,[2020],[2020],C,MN,25,14192.0,True
48,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,Senate,[2020],[2020],C,MT,1,500.0,False
49,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,Senate,[2020],[2020],C,PA,2,5600.0,False
50,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,Senate,[2020],[2020],C,TX,2,932.0,False
51,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,Senate,[2020],[2020],C,WI,3,1500.0,False
52,"BIERSCHWALE, VIRGIL",S0TX00365,TX,REP,Challenger,Senate,[2020],[2020],N,TX,26,904.0,True
53,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,AE,4,1063.13,False
54,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,AK,1,100.0,False
55,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,AL,3,1075.0,False
56,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,AR,7,6991.98,False
57,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,AZ,20,11777.71,False
58,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,CA,70,48534.69,False
59,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,CO,21,4666.8,False
60,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,CT,8,7800.0,False
61,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,DC,2,1500.0,False
62,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,FL,97,87628.54,False
63,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,GA,12,2875.0,False
64,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,HI,7,11675.0,False
65,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,ID,5,1550.0,False
66,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,IL,2,350.0,False
67,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,IN,6,2560.0,False
68,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,KS,6,2550.0,False
69,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,LA,5,9150.0,False
70,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,MA,47,34771.46,False
71,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,MD,15,6860.0,False
72,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,ME,6,11804.48,False
73,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,MI,5,1575.0,False
74,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,MN,1,50.0,False
75,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,MO,1,500.0,False
76,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,MS,4,1650.0,False
77,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,MT,1,1000.0,False
78,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,NC,15,5435.73,False
79,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,ND,1,250.0,False
80,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,NE,1,250.0,False
81,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,NH,484,189893.64,True
82,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,NJ,13,4933.0,False
83,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,NM,2,110.0,False
84,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,NV,14,10391.98,False
85,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,NY,22,16109.33,False
86,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,OH,13,4545.0,False
87,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,OK,3,3560.73,False
88,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,OR,6,3461.0,False
89,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,PA,11,1924.0,False
90,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,PR,1,250.0,False
91,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,SC,9,7954.48,False
92,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,TN,16,2000.0,False
93,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,TX,54,20375.65,False
94,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,UT,2,50.0,False
95,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,VA,32,12883.44,False
96,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,VT,8,5985.73,False
97,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,WA,10,1200.0,False
98,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,WI,6,850.0,False
99,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],C,WY,6,8350.0,False
100,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,CA,1,1000.0,False
101,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,CO,3,1750.0,False
102,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,KY,2,750.0,False
103,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,MD,1,750.0,False
104,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,MN,8,5346.71,False
105,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,NE,1,1200.0,False
106,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,NH,1,250.0,False
107,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,NM,1,500.0,False
108,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,NV,1,500.0,False
109,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,OR,1,500.0,False
110,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,SD,25,9471.48,True
111,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,TX,2,5000.0,False
