,candidate_id,state,donation_count,total_raised,cycle
144,S6MD03177,LA,7,7600.0,2018
145,S6MD03177,MA,43,71750.0,2018
146,S6MD03177,MD,1401,1128677.15,2018
147,S6MD03177,MI,36,34250.0,2018
148,S6MD03177,MN,7,5250.0,2018
149,S8DE00079,AE,1,500.0,2018
150,S8DE00079,AR,4,4700.0,2018
151,S8DE00079,AZ,1,500.0,2018
152,S8DE00079,CA,54,84409.44,2018
153,S8DE00079,CO,28,18450.0,2018
154,S8DE00079,CT,8,10300.0,2018
155,S8DE00079,DC,135,99988.0,2018
156,S8DE00079,DE,1049,363752.86,2018
157,S8DE00079,FL,30,33650.0,2018
158,S8DE00079,GA,3,5500.0,2018
159,S8DE00079,ID,2,3700.0,2018
160,S8DE00079,IL,7,9900.0,2018
161,S8DE00079,IN,8,4925.0,2018
162,S8DE00079,KS,4,9600.0,2018
163,S8DE00079,KY,2,4718.0,2018
164,S8DE00079,LA,6,2600.0,2018
165,S8DE00079,MA,19,16200.0,2018
166,S8DE00079,MD,55,37918.47,2018
167,S8DE00079,MI,3,521.0,2018
168,S8DE00079,MN,10,120.0,2018
169,S6PA00217,AE,26,426.68,2018
170,S6PA00217,AK,2,1000.0,2018
171,S6PA00217,AL,39,14603.0,2018
172,S6PA00217,AP,1,5.0,2018
173,S6PA00217,AR,14,5003.0,2018
174,S6PA00217,AZ,150,13977.0,2018
175,S6PA00217,CA,1966,904656.92,2018
176,S6PA00217,CO,228,140451.87,2018
177,S6PA00217,CT,333,95200.69,2018
178,S6PA00217,DC,844,576280.16,2018
179,S6PA00217,DE,129,41483.0,2018
180,S6PA00217,FL,638,283460.48,2018
181,S6PA00217,GA,163,79506.0,2018
182,S6PA00217,GU,2,88.0,2018
183,S6PA00217,HI,21,1723.0,2018
184,S6PA00217,IA,34,2785.0,2018
185,S6PA00217,ID,48,8229.11,2018
186,S6PA00217,IL,692,401610.34,2018
187,S6PA00217,IN,77,11281.0,2018
188,S6PA00217,KS,67,8023.34,2018
189,S8NV00131,CO,1,2500.0,2018
190,S8NV00131,CT,1,50.0,2018
191,S8NV00131,FL,1,50.0,2018
192,S8NV00131,NV,23,6130.0,2018
193,S8NV00131,OT,5,510.0,2018
194,S8NV00131,UT,1,50.0,2018
195,S8CA00408,AZ,1,500.0,2018
196,S8CA00408,CA,2461,1896777.5,2018
197,S8CA00408,CO,1,500.0,2018
198,S8CA00408,CT,1,250.0,2018
199,S8CA00408,DC,54,34275.0,2018
200,S8CA00408,FL,2,2950.0,2018
201,S8CA00408,GA,1,2700.0,2018
202,S8CA00408,HI,23,21600.0,2018
203,S8CA00408,IL,12,395.0,2018
204,S8CA00408,IN,2,500.0,2018
205,S8CA00408,MA,119,53398.62,2018
206,S8CA00408,MD,4,1325.0,2018
207,S8CA00408,MI,24,1543.0,2018
208,S8CA00408,MN,13,1600.0,2018
209,S8CA00408,MO,1,300.0,2018
210,S8CA00408,NJ,6,12421.13,2018
211,S8CA00408,NM,1,1000.0,2018
212,S8CA00408,NV,2,2000.0,2018
213,S8CA00408,NY,21,12308.0,2018
214,S8CA00408,OH,2,1250.0,2018
215,S2IN00091,AE,4,575.0,2018
216,S2IN00091,AK,13,6725.0,2018
217,S2IN00091,AL,29,8688.0,2018
218,S2IN00091,AP,1,500.0,2018
219,S2IN00091,AR,17,13025.0,2018
220,S2IN00091,AZ,36,18725.0,2018
221,S2IN00091,CA,2167,1242636.05,2018
222,S2IN00091,CO,159,73647.33,2018
223,S2IN00091,CT,267,118814.58,2018
224,S2IN00091,DC,532,405669.95,2018
225,S2IN00091,DE,14,6950.0,2018
226,S2IN00091,FL,239,183599.06,2018
227,S2IN00091,GA,80,20976.42,2018
228,S2IN00091,HI,27,17383.34,2018
229,S2IN00091,IA,10,6250.0,2018
230,S2IN00091,ID,13,17125.0,2018
231,S2IN00091,IL,807,418538.94,2018
232,S2IN00091,IN,15489,2944149.73,2018
233,S2IN00091,KS,14,9970.0,2018
234,S2IN00091,KY,97,40552.0,2018
235,S6IL00292,AE,6,55.0,2018
236,S6IL00292,AK,19,2140.0,2018
237,S6IL00292,AL,2,450.0,2018
238,S6IL00292,AR,37,10345.0,2018
239,S6IL00292,AZ,60,5378.87,2018
240,S6IL00292,CA,1010,98635.75,2018
241,S6IL00292,CO,99,7162.5,2018
242,S6IL00292,CT,61,5551.1,2018
243,S6IL00292,DC,32,13651.95,2018
244,S6IL00292,DE,7,1450.0,2018
245,S6IL00292,FL,226,20233.12,2018
246,S6IL00292,GA,107,10396.5,2018
247,S6IL00292,HI,78,4790.0,2018
248,S6IL00292,IA,95,5567.5,2018
249,S6IL00292,ID,3,300.0,2018
250,S6IL00292,IL,2546,310657.82,2018
251,S6IL00292,IN,67,5990.0,2018
252,S6IL00292,KS,25,2525.0,2018
253,S6IL00292,KY,31,7550.0,2018
254,S6IL00292,LA,18,1810.0,2018
255,S8MO00186,CA,1,55.0,2018
256,S8MO00186,MA,1,152.0,2018
257,S8MS00287,AA,1,250.0,2018
258,S8MS00287,AK,18,2793.0,2018
259,S8MS00287,AL,52,16435.0,2018
260,S8MS00287,AR,32,19720.0,2018
261,S8MS00287,AZ,47,12244.0,2018
262,S8MS00287,CA,1798,644975.13,2018
263,S8MS00287,CO,100,38313.5,2018
264,S8MS00287,CT,118,24987.5,2018
265,S8MS00287,DC,376,187633.05,2018
266,S8MS00287,DE,7,1250.0,2018
267,S8MS00287,FL,243,97359.78,2018
268,S8MS00287,GA,165,48306.5,2018
269,S8MS00287,HI,35,3510.5,2018
270,S8MS00287,IA,14,4410.0,2018
271,S8MS00287,ID,14,2650.0,2018
272,S8MS00287,IL,266,156248.0,2018
273,S8MS00287,IN,35,7110.0,2018
274,S8MS00287,KS,5,3000.0,2018
275,S8MS00287,KY,19,8950.0,2018
276,S8MS00287,LA,79,47445.0,2018
277,S0CA00199,AA,1,1000.0,2018
278,S0CA00199,AK,4,1268.0,2018
279,S0CA00199,AR,18,9953.0,2018
280,S0CA00199,AZ,21,11502.02,2018
281,S0CA00199,CA,7083,4228502.61,2018
282,S0CA00199,CO,49,63555.0,2018
283,S0CA00199,CT,36,44118.0,2018
284,S0CA00199,DC,268,274702.72,2018
285,S0CA00199,FL,80,40537.18,2018
286,S0CA00199,GA,20,4460.0,2018
287,S0CA00199,HI,4,950.0,2018
288,S0CA00199,IA,20,1783.0,2018
289,S0CA00199,ID,5,5750.0,2018
290,S0CA00199,IL,55,40722.0,2018
291,S0CA00199,IN,13,6782.7,2018
292,S0CA00199,KS,6,975.0,2018
293,S0CA00199,KY,15,3393.0,2018
294,S0CA00199,LA,19,850.0,2018
295,S0CA00199,MA,84,69722.0,2018
296,S0CA00199,MD,151,130376.96,2018
297,S8AL00357,AL,2,500.0,2018
298,S8AL00357,AZ,1,1000.0,2018
299,S8AL00357,IA,3,1000.0,2018
300,S8AL00357,IL,1,250.0,2018
301,S8AL00357,KY,1,1000.0,2018
302,S8AL00357,NC,1,2000.0,2018
303,S8AL00357,NY,3,350.0,2018
304,S8AL00357,OT,1,200.0,2018
305,S0NY00410,AK,46,4465.0,2018
306,S0NY00410,AL,49,5550.0,2018
307,S0NY00410,AR,51,3335.0,2018
308,S0NY00410,AZ,287,44943.5,2018
309,S0NY00410,CA,3844,1886421.68,2018
310,S0NY00410,CO,486,166110.0,2018
